Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
233	1	-420.897	-410.054	-10.8426	591949.5	7.181644	0.998348	0.999578	1.00042	1.00165	3.158058
234	0	-438.461	-423.229	-15.2318	780672.5	8.002938	0.998562	0.999632	1.00037	1.00144	3.808373
235	1	-439.23	-422.43	-16.8006	213700.3	6.223068	0.997252	0.999296	1.0007	1.00275	3.872996
236	0	-431.09	-420.235	-10.8544	565916.2	9.655856	0.998311	0.999568	1.00043	1.00169	3.310544
237	1	-431.166	-415.532	-15.6344	987889.9	11.2762	0.998721	0.999673	1.00033	1.00128	3.683986
238	0	-437.375	-425.375	-11.9995	950518.7	9.823866	0.998697	0.999667	1.00033	1.0013	3.425019
239	1	-421.922	-414.852	-7.07063	430262.2	8.371888	0.998063	0.999504	1.00049	1.00194	2.834553
240	0	-436.838	-423.464	-13.3741	601984.5	8.826522	0.998362	0.999581	1.00042	1.00164	3.590112
241	1	-434.735	-423.855	-10.8803	810322.8	7.774214	0.998588	0.999639	1.00036	1.00141	3.243487
242	0	-427.439	-417.498	-9.94072	672538.2	9.969749	0.99845	0.999604	1.0004	1.00155	3.214263
243	1	-437.774	-425.348	-12.4269	968029.7	11.00147	0.998708	0.99967	1.00033	1.00129	3.415436
244	0	-435.148	-424.113	-11.0343	297570.2	8.961352	0.997671	0.999404	1.00059	1.00233	3.327812
245	1	-432.31	-417.956	-14.3537	752921.2	10.63531	0.998535	0.999625	1.00037	1.00147	3.616053
246	0	-428.262	-415.998	-12.2641	307433.6	11.02593	0.997708	0.999414	1.00058	1.00229	3.399302
