Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1640	-438.102	-422.844	-15.2584	670143.7	8.311567	0.998448	0.999603	1.0004	1.00155	3.812971
1650	-430.226	-417.42	-12.8058	798728.1	10.35104	0.998578	0.999636	1.00036	1.00142	3.484939
1660	-439.777	-422.247	-17.5301	923104.2	11.62522	0.998677	0.999662	1.00034	1.00132	3.816975
1670	-431.606	-414.792	-16.8141	947068.4	7.915156	0.998694	0.999666	1.00033	1.00131	4.006752
1680	-420.938	-411.585	-9.3528	450792.4	9.230397	0.998107	0.999516	1.00048	1.00189	3.148573
1690	-422.1	-412.315	-9.78458	893556.3	8.627399	0.998656	0.999656	1.00034	1.00135	3.174249
1700	-436.278	-422.773	-13.5046	786634.6	9.251121	0.998567	0.999634	1.00037	1.00143	3.59786
1710	-438.32	-427.022	-11.2985	314179.1	9.326677	0.997733	0.99942	1.00058	1.00227	3.359341
1720	-431.701	-421.711	-9.98991	688496.8	8.56415	0.998469	0.999608	1.00039	1.00153	3.194792
1730	-430.763	-425.627	-5.13662	641279.1	12.81818	0.998413	0.999594	1.0004	1.00159	2.727751
1740	-436.042	-419.848	-16.1947	969188.9	6.981815	0.998709	0.99967	1.00033	1.00129	3.887354
1750	-426.528	-414.773	-11.7548	607944.3	10.15638	0.99837	0.999583	1.00042	1.00163	3.390404
1760	-428	-413.421	-14.5783	139897.8	9.356301	0.996604	0.99913	1.00087	1.0034	3.709794
1770	-427.809	-412.601	-15.2077	452616.8	11.23867	0.998111	0.999517	1.00048	1.00189	3.649197
1780	-430.201	-417.859	-12.3416	303912.2	9.845795	0.997695	0.99941	1.00059	1.00231	3.459162
1790	-429.683	-418.689	-10.9938	586647	7.673218	0.998341	0.999576	1.00042	1.00166	3.24736
1800	-443.471	-429.677	-13.7937	332055.2	9.066873	0.997795	0.999436	1.00056	1.00221	3.633705
1810	-430.752	-423.968	-6.78388	130339.4	14.42871	0.996481	0.999099	1.0009	1.00352	2.785813
1820	-428.983	-420.065	-8.91788	674087	9.640511	0.998452	0.999604	1.0004	1.00155	3.109816
1830	-434.925	-420.057	-14.8678	189899.5	8.588838	0.997085	0.999253	1.00074	1.00292	3.764024
1840	-442.703	-423.64	-19.0631	437517.1	8.652773	0.998079	0.999509	1.00049	1.00192	4.24787
1850	-432.517	-417.836	-14.6809	39861.79	9.7789	0.993641	0.998367	1.00162	1.00637	3.70041
1860	-435.06	-416.537	-18.5239	415300.2	6.440372	0.998028	0.999496	1.0005	1.00197	4.17902
1870	-438.568	-418.825	-19.7428	149588.2	8.592595	0.996715	0.999159	1.00084	1.00329	4.331321
1880	-434.475	-413.507	-20.9677	326091.9	8.64706	0.997775	0.999431	1.00057	1.00223	4.468552
1890	-439.283	-421.6	-17.6827	760047.8	6.21293	0.998542	0.999627	1.00037	1.00146	4.012973
1900	-439.82	-420.319	-19.5013	161018.7	5.485776	0.996834	0.999189	1.00081	1.00317	4.154135
1910	-442.62	-428.141	-14.4786	704631.3	7.786961	0.998486	0.999613	1.00039	1.00151	3.706885
1920	-437.883	-422.031	-15.8514	827906	10.40121	0.998603	0.999643	1.00036	1.0014	3.775316
1930	-439.698	-422.507	-17.1906	493934.6	9.673324	0.998192	0.999537	1.00046	1.00181	3.965389
1940	-445.579	-428.394	-17.1856	687098.6	6.705223	0.998467	0.999608	1.00039	1.00153	4.004806
1950	-443.378	-423.208	-20.1699	975077.9	7.292256	0.998713	0.999671	1.00033	1.00129	4.455359
1960	-441.804	-419.662	-22.142	363723.5	6.092339	0.997893	0.999461	1.00054	1.00211	4.722146
1970	-446.88	-421.912	-24.9681	199037.2	5.341287	0.997152	0.999271	1.00073	1.00285	5.130509
1980	-440.324	-425.403	-14.9212	896863.4	7.188611	0.998658	0.999657	1.00034	1.00134	3.726618
1990	-439.373	-423.495	-15.8778	810990.2	6.58478	0.998589	0.999639	1.00036	1.00141	3.792261
2000	-442.065	-426.483	-15.5811	173343.5	8.15993	0.996949	0.999219	1.00078	1.00305	3.852635
2010	-437.216	-421.271	-15.9445	926737	6.802346	0.99868	0.999662	1.00034	1.00132	3.83208
2020	-428.426	-416.023	-12.4026	575511	9.114276	0.998325	0.999572	1.00043	1.00168	3.48002
2030	-424.706	-416.558	-8.14781	451812.4	11.08872	0.99811	0.999516	1.00048	1.00189	3.024605
